----------------------- Page 1-----------------------

abandon            v./n.放弃；放纵                                            分拆联想：a+band(乐队)+on→一个乐队在演出→放纵  
icicle            n.冰柱，冰垂                                             词根记忆：ic( ＝ice冰)+icle(小东西)→冰柱 
icon              n.圣像，偶像                                             icon本身可作构词成分，如：iconize(v.肓目崇拜)，iconoclasm(n.打破圣像的行动) 
iconoclast        n.攻击传统观念或风俗的人                                       词根记忆：icono(圣像)+clast(打破„的人)→打破圣像的人 
ideology          n.思想体系，思想意识，意识形态                                    词根记忆：ide(看作idea思想)+ology(„学)→思想(体系) 
idiom             n.习语，语言的习惯用法；特色                                     无 

idle              a.(指人)无所事事的；无效的；v.懒散，无所事事                           发音记忆：“爱斗”→无所事事的才爱斗 

idolater          n.神像(偶像)崇拜者                                         无 
idyll             n.田园生活；田园诗                                          无 
igneous           a.火的，火绒的                                            词根记忆：ign(点燃)+eous→火的 
ignite            v.发光；点燃，燃烧                                          词根记忆：ign(点火)+ite 
ignoble           a.卑鄙的                                               词根记忆：ig(不)+noble(高贵)→不高贵的→下流的 
ignominious       a.可耻的；耻辱的                                           无 
ignominy          n.羞耻，屈辱                                             词根记忆：ig(不)+nomin(名声)+y→名声不好→耻辱 
ignorant          a.无知的，愚昧的                                           无 
illegal           a.违法的                                               词根记忆：il(不)+legal(合法的)→不合法的 
illegitimate      a.不合法的；私生的                                          il(不)+legitimate(合法的)→不合法的 
illicit           a.违法的                                               il(不)+licit(合法的)→违法的 
illiterate        a.文盲的                                               il(不)+literate(识字的)→不识字的，文盲的 
illuminate        v.阐明，解释；照亮                                          词根记忆：il(加强)+lumin(光)+ate→把光加强 
illuminati        n.先觉者，智者                                            词根记忆：il(加强)+lumin(光)+ati→给人带来光明的人→智者 
illusion          n.假象，错觉                                             词根记忆：il+lus(玩弄)+ion→被玩弄→假象 
illusive          a.迷惑人的，迷幻的                                          无 
illusory          a.虚幻的                                               无 
illustrate        v.为„作插图或图表；说明，阐明                                    词根记忆：il(不断)+lustr(照亮，光)+ate→不断给光明→说明 
imbibe            v.饮；吸入                                              词根记忆：im(进入)+bibe(=drink喝)→喝入→吸入 
imbroglio         n.纠纷，纠葛                                             词根记忆：im(进入)+broglio(混乱)，原是意大利语 
imbue                                                                 无 
imitation         n.赝品；效法，冒充                                          来自imitate(v.模仿，仿制) 
imitative         a.模仿的                                               无 
immaculate        a.洁净的，无瑕的                                           词根记忆：im(不)+macul(斑点)+ate→无斑点的 

----------------------- Page 44-----------------------

immanent           a.内在的；普遍存在的                                            词根记忆：im(进入)+man(人)+ent→在人之内的→内在的 
immemorial         a.太古的，极古的                                              词根记忆：im(不)+memor(记住)+ial→记不住的过去→太古的 
immense            a.极大的；无限的                                              词根记忆：im(不)+mense(=measure测量)→不能测量的→巨大的 
immensity          n.巨大之物；无限                                              无 
immerse            v.浸入；沉浸于                                               词根记忆：im(进入)+merse(=merge浸入)→浸入 
imminent           a.即将发生的，逼近的                                            词根记忆：im(进入)+min(突出)+ent→突进来→逼近的 
immolate           v.牺牲，焚祭                                                词根记忆：im(进入)+mola(祭品)+te→变成祭品→牺牲 
immune             a.免疫的；免除的                                              词根记忆：im(没有)+mune(公共)→不得公共病→免疫的 
immunity           n.免疫；豁免                                                无 
immunize           v.使免疫                                                  无 
immure             v.监禁                                                   词根记忆：im(进入)+mure(墙)→进入墙→监禁 
imp                n.小鬼；顽童                                                无 
impact             n.冲击，影响                                                词根记忆：im(进入)+pact(紧的)→压进去的力量→影响力 
impair             v.损害，使弱                                                词根记忆：im(进入)+pair(坏)→进入坏→损害 
impale             v.刺入，刺中                                                分拆联想：im+pale(苍白的)→脸色苍白，因为身体被刺中了 
impalpable         a.无法触及的；不易理解的                                          im(不)+palpable(可触摸的)→不可触摸的 
impart             v.传授，告知                                                词根记忆：im(进入)+part(部分)→成为(知识)一部分→告知 
impartial          a.公平的，无私的                                              im(不)+partial(偏见的)→没有偏见的 
impasse            n.僵局；死路                                                im(不)+pass(通过)+e→通不过→死路，僵局 
impassioned        a.慷慨激昂的                                                im(进入)+passion(激情)+ed 

                                                                          词根记忆：im(没有)+pass(感情)+ive→没有感情的；注意不要和impassioned(充满激情 
impassive          a.无动于衷的，冷漠的                                            的)相混 
impeach            v.指责；弹劾                                                im(进入)+peach(告发)→告发，指责；peach作为“桃子”一意大家都知道 
impeccable         a.无瑕疵的                                                 词根记忆：im(无)+pecc(斑点)+able→无斑点的 
impecunious        a.不名一文的，贫困的                                            词根记忆：im(无)+pecun(钱)+ious→无钱的 
impede             v.妨碍                                                   词根记忆：im(进入)+ped(脚)+e→把脚放入→妨碍 
impediment         n.妨碍，阻碍物                                               无 
impel              v.推进；驱使                                                词根记忆：im(在里面)+pel(推)→推进 
impending          a.行将发生的，逼近的                                            词根记忆：im(进入)+pend(挂)+ing→挂到眼前→即将发生的 
impenetrable       a.不能穿透的；不可理解的                                          im(不)+penetrable(可刺穿的)→不可穿透的 
impenitent         a.不悔悟的                                                 im(不)+penitent(悔恨的)→死不悔改的 
imperative         a.急需的                                                  词根记忆：imper(命令)+ative→命令的，紧急的 
imperial           a.帝王的，至尊的                                              无 
imperious          a.傲慢的，专横的                                              词根记忆：imper(命令)+ious→命令的→专横的 
impermanent        a.暂时的                                                  im(不)+permanent(永久的)→不作永久逗留→暂时的 
impermeable        a.不可渗透的，透不过的                                           im(不)+permeable(可渗透的)→不可渗透的 
impersonate        v.模仿；扮演                                                im(进入)+person(人，角色)+ate→进入角色→扮演 
impertinence       n.无礼，粗鲁                                                im(不)+pertinence(礼貌，得体) 
imperturbable      a.冷静的，沉着的                                              im(不)+perturb(打扰)+able→不能被打扰的→沉着的 
impervious         a.不能渗透的；不为所动的                                          im(不)+pervious(渗透的)→不可渗透的 
impetuous          a.冲动的，鲁莽的                                              无 
impetus            n.推动力；刺激                                               词根记忆：im(在内)+pet(追求)+us→内心追求→推动力 
impinge            v.侵犯；撞击                                                分拆联想：im(进入)+pinge(拼音：品格)→进入别人的品格→侵犯别人 
implant            v.注入；灌输                                                im(进入)+plant(种植)→种入→灌输 
implausible        a.难以置信的                                                im(不)+plausible(可信的) 
implement          n.工具，器具；v.实现，实施                                        词根记忆：im(进入)+ple(满)+ment→进入圆满→实现 
implicate          v.牵连(于罪行中)                                             词根记忆：im(进入)+plic(重叠)+ate→重叠进去→牵连 
implication        n.暗示                                                   无 
implicit           a.含蓄的，不言而喻的                                            词根记忆：im(进入)+plic(重叠)+it(意义)→叠在里面→含蓄的 
implode            v.内爆；剧减                                                词根记忆：im( 向内)+plode(爆炸)→内爆 
implore            v.哀求，恳求                                                词根记忆：im(进入)+plore(悲哀)→进入悲哀→哀求 
impolitic          a.不智的，失策的                                              im(不)+politic(有手腕的，策略的)→失策的 
imponderable       a.(重量等)无法衡量的                                           im(不)+ponder(重量)+able→没法测量重量的 
import             n./v.进口，输入；意义                                          无 
importune          v.强求，不断请求                                              词根记忆：im(进入)+portune(拿出)→拿出(强求)的姿态 
impose             v.征税；强加                                                词根记忆：im(进入)+pose(放)→放进去→强加 
imposing           a.壮丽的，雄伟的                                              无 
impostor           n.冒充者，骗子                                               词根记忆：im(进入)+post(放)+or→把自己放入别人的角色→冒充者 
imposture          n.冒充                                                   词根记忆：im(进入)+pos(放)+ture→把别的东西放进去→冒充 
impoverish         v.使成赤贫                                                 词根记忆：im(进入)+pover(贫困)+ish→进入贫困 
impregnable        a.攻不破的，征服不了的                                           词根记忆：im(不)+pregn(拿住)+able→拿不住的→征服不了的 
impresario         n.(剧院或乐团等)经理人，主办者                                      来自意大利语：impresar(经营)+io→经营者→主办者 
impressed          a.被打动的；被感动的                                            无 
impression         n.印象，感想；盖印，压痕                                          impress(印，盖印)＋ion→印象，盖印 

----------------------- Page 45-----------------------

impressionable      a.易受影响的                                                  无 
imprint             v.盖印，刻印                                                  im(不)+print(印)→印上→盖印 
impromptu           a.即席的，即兴的                                                im(不)+promptu(时间)→不在(安排的)时间之内→即席的 
improvident         a.无远见的，不节俭的                                              词根记忆：im(不)+provident(节俭的，有远见的) 
improvise           v.即席而作                                                   词根记忆：im(不)+pro(前)+vise(看)→没有预先看过→即席创作 
imprudent           a.轻率的；不智的                                                无 
impudent            a.鲁莽的，无礼的                                                词根记忆：im(不)+pud(小心，谦虚)+ent→不小心的→冒失的 
impugn              v.指责，对„表示怀疑                                              词根记忆：im(进入)+pugn(打斗)→马上就要进入打斗→指责 
impuissance         n.无力，虚弱                                                  im(不)+puissance(力量) 
impulse             n.冲动；刺激                                                  词根记忆：im(在内)+pulse(推)→内推→冲动 
impunity            n.免除惩罚                                                   词根记忆：im(不)+pun(罚)+ity→免除惩罚 
inadvertence        n.漫不经心                                                   in(不)+advertence(注意)→漫不经心 
inalienable         a.不可剥夺的                                                  词根记忆：in(不)+alien(疏远)+able→不可疏远→不可分割的 
inane               a.无意义的；空洞的                                               无 
inanimate           a.无生命的                                                   词根记忆：in(无)+anim(生命)+ate→无生命的 
inappreciable       a.微不足道的                                                  in(不)+appreci(ate)(欣赏)+able(能„的)→不值得欣赏的 
inaugural           a.就职的，开幕的                                                无 
inaugurate          v.举行就职典礼；开创                                              词根记忆：in(进入)+augur(预示；开始)+ate→开始进入→就职 
inborn              a.天生的，天赋的                                                in( 内)+born( 出生)→与生俱来的，天生的 
incandescence       n.白炽，炽热发光                                                词根记忆：in(进入)+cand(光)+escence(开始„的)→进入发光状态→炽热发光 
incantation         n.咒语                                                     in+cant(黑话)+ation→咒语 
incarcerate         v.下狱，监禁                                                  词根记忆：in(进入)+carcer(监狱)+ate→下狱 
incarnate           a.具有肉体的；化身的                                              词根记忆：in(进入)+carn( 肉体)+ate→变成肉体化身 
incendiary          a.放火的，纵火的                                                词根记忆：in(进入)+cend(=cand发白光)+iary→燃烧发光→放火的 
incense             n.香，香味；v.激怒                                              词根记忆：in(进入)+cense(=cand发光)→焚烧的香，引申为点燃怒气→激怒 
incentive           n.刺激，鼓励；刺激因素                                             词根记忆：in(进入)+cent(=cant唱，说)+ive→说服人做事→刺激，鼓励 
inception           n.开端，开始；取得学位                                             词根记忆：in(进入)+cept(拿)+ion→拿进来→开始 
incessant           a.无间断的，连续的                                               词根记忆：in(不)+cess(停止)+ant→不停止的→连续的 
inch                v.慢慢前进，慢慢移动                                              联想记忆：一寸一寸(inch)地移动，引申为慢慢前进 
inchoate            a.刚开始的；未发展的                                              分拆联想：inch(寸)+oat(燕麦)+e→燕麦刚长一寸→初期的，不成熟的 
incidence           n.事情发生；发生率                                               词根记忆：in(进入)+cid(落下)+ence→掉进来的事→事情发生 
incinerate          v.焚化，毁弃                                                  词根记忆：in(进入)+ciner(灰)+ate→变成灰→焚化 
incipient           a.初期的，刚出现的                                               词根记忆：in+cip(掉)+ient→掉进来的→刚出现的 
incise              v.切，切割                                                   词根记忆：in+cise(切)→切进去 
incision            n.切口；切割                                                  无 
incisive            a.一针见血的                                                  无 
incite              v.激发，刺激                                                  词根记忆：in(进入)+cite(唤起)→唤起情绪→激发 
inclement           a.(天气)严酷的；严厉的                                            in(不)+clement(仁慈的)→不仁慈的→严酷的，严厉的 
inclusive           a.包含一切的，范围广的                                             来自include(v.包含，包括) 
incogitant          a.无思想的，考虑不周的                                             词根记忆：in(不)+cogit(思考)+ant→不会思考的 
incommensurate      a.不成比例的，不相称的                                             in(不)+commensurate(等量的，相称的)→不相称的→不成比例的 
incompatible        a.不能和谐共存的                                                in(不)+compatible(和谐的) 
incompetent         a.无能力的，不能胜任的                                             in(不)+competent(有能力的) 
incongruity         n.不协调，不相称                                                in(不)+congruity(一致，和谐)→不协调，不相称 
inconsequential     a.不重要的，微不足道的                                             in(不)+consequential(重要的) 
inconstancy         n.(指人)反复无常                                               in(不)+constancy(恒久不变)→反复无常 
incontrovertible    a.无可辩驳的                                                  in(不)+controvertible(可辩论的)→无可辩驳的 
incorporate         v.合并，并入                                                  词根记忆：in(进入)+corpor( 团体)+ate→进入团体→合并 
incorrigible        a.积习难改的，不可救药的                                            in(不)+corrigible(可以改正的)→积习难改的 
incorruptible       a.(道德上)不受腐蚀的                                             in(不)+corrupt(腐败)+ible→不会腐败的 
incredulity         n.怀疑，不相信                                                 词根记忆：in(不)+cred(信任)+ulity→不信任→怀疑 
increment           n.增值，增加                                                  词根记忆：in(进入)+cre(增加)+ment→使增加→增加 
incriminate         v.连累，牵连                                                  词根记忆：in(进入)+crimin(罪行)+ate→被牵连在罪行中 
incubate            v.孵化                                                     词根记忆：in(里面)+cub(睡)+ate→睡在里面→孵卵，潜伏 
incubation          n.孵卵期；潜伏期                                                无 
incubator           n.孵卵器；早产婴儿保育箱                                            无 
incubus             n.恶梦；梦魇般的精神压力，负担                                         词根记忆：in+cub(睡)+us→原指在妇女睡觉时和妇女同眠的怪物 
inculcate           v.灌输，谆谆教诲                                                词根记忆：in(进入)+culc(=cult培养，种植)+ate→种进去→灌输 
inculpate           v.连累；控告；归咎于                                              词根记忆：in(使)+culp(错，罪)+ate→使(别人)有罪→连累 
incumbent           n.在职者，现任者；a.义不容辞的                                        词根记忆：in+cumb(躺)+ent→躺在(职位)上的人→在职者 
incur               v.招惹                                                     词根记忆：in(进入)+cur(跑)→引着跑进来→招惹 
indebted            a.感激的，感恩的                                                in(进入)+debt(债务)+ed→欠人债务的，引申为别人不催债而感激的 
indecipherable      a.无法破译的                                                  in(不)+decipher(破解，破译)+able→无法破译的 

----------------------- Page 46-----------------------

indecisive          a.非决定性的，迟疑不决的                                            in(不)+decisive(决定性的)→非决定性的 
indefatigable       a.不知疲倦的                                                  in(不)+de(表示强调)+fatig(疲倦)+able→不知疲倦的 
indelible           a.擦拭不掉的，不可磨灭的                                            词根记忆：in+del(=delete擦掉)+ible→不能擦掉的 
indemnify           v.赔偿，偿付                                                  词根记忆：in+demn(损坏)+ify→使损坏消除→赔偿 
indemnity           n.赔偿；保证                                                  无 
indent              v.切割成锯齿状                                                 词根记忆：in(进入)+dent(牙齿)→成牙齿状 
indenture           n.契约，合同                                                  indent(切割成锯齿状)+ure，原指古代师徒间分割成锯齿状的契约 
indicate            v.显示，指出；象征                                               in+dic(说)+ate→指示，指出 
indict              v.控诉，起诉                                                  词根记忆：in(进入)+dict(说)→(在法庭上)把„说出来→控告 
indifferent         a.不感兴趣的，漠不关心的                                            in(不)+different(不同的)→任何不同之事都与己无关 
indigence           n.贫穷                                                     分拆联想：in(无)+dig(挖)+ence→挖不出东西→贫穷 
indigenous          a.土产的，本地的                                                词根记忆：indi( 内部)+gen(产生)+ous→内部产生的→本地的 
indigent            a.贫穷的，贫困的                                                分拆联想：in(没有)+dig(挖)+ent→挖不出东西→贫困的 
indignant           a.愤慨的，愤愤不平的                                              词根记忆：in(不)+dign(高贵)+ant→因为发怒而不高贵的→愤慨的 
indignation         n.愤慨                                                     无 
indignity           n.侮辱，轻蔑；侮辱性的言行                                           in(不)+dignity(高贵)→不高贵的言行→侮辱性的言行 
indispensability    n.不可缺少                                                   in(不)+dispensability(可缺少)→不可缺少 
individual          a.单独的，特有的；n.个人，个体                                        词根记忆：in+divid(分割)+ual→分割开的→单独的，个别的 
indoctrinate        v.教导；灌输思想                                                in(进入)+doctrin(e)(教条，思想)+ate→使思想进入→灌输 
indolent            a.懒惰的                                                    词根记忆：in(不)+dol(悲痛)+ent→不悲痛的→指不因为浪费时间等而悲痛→懒惰的 
indubitable         a.不容置疑的                                                  词根记忆：in(不)+dubit(怀疑)+able→不容置疑的 
induce              v.诱导；引起                                                  词根记忆：in(进入)+duce(引导)→引入，诱导 
induct              v.使就职；使入伍                                                词根记忆：in(进去)+duct(引导)→引进→入伍 
induction           n.就职，入伍仪式；归纳                                             无 
indulge             v.放纵；满足                                                  无 
indurate            v.使坚硬；使习惯于                                               词根记忆：in(进入)+dur(坚硬)+ate→进入坚硬 
industrious         a.勤劳的，勤勉的                                                无 
ineffable           a.妙不可言的                                                  in(不)+effable(可以表达的)→难以表达的→妙不可言的 
ineffectual         a.无效的，徒劳无益的                                              in(不)+effectual(有效的)→无效的 
inelasticity        n.无弹性，无伸缩性                                               in(无)+elastic(弹性的)+ity(表性质)→无弹性，无伸缩性 
ineluctable         a.不能逃避的                                                  in(不)+eluctable(逃避的)→不可逃避的 
inept               a.无能的；不适当的                                               词根记忆：in(无)+ept(能干的)→无能的 
ineptitude          n.无能，不称职                                                 无 
inequity            n.不公正，不公平                                                in(不)+equi(平等)+ty→不平等 
inert               a.惰性的；行动迟钝的                                              词根记忆：in(不)+ert(动)→不动的→惰性的 
inertia             n.惰性；懒惰                                                  无 
inexhaustible       a.用不完的，取之不竭的                                             in(不)+exhaust(耗尽)+ible→耗不尽的 
inexorable          a.不为所动的；坚决不变的                                            in(不)+exorable(可说服的)→不可说服的→不为所动的 
inexplicable        a.无法解释的                                                  in(不)+explicable(可以解释的)→无法解释的 
infant              n.婴儿                                                     分拆联想：in+fant(看作faint虚弱的)→处于无力虚弱的状态→婴儿 
infantry            n.步兵                                                     分拆联想：infant(婴儿)+(t)ry(尝试)→婴儿尝试走路很慢，可以联想到步兵也很慢 
infatuation         n.迷恋                                                     无 
infection           n.传染，感染                                                  无 
infelicitous        a.不幸的，不妥当的                                               in(不)+felicitous(得体的)→不得体的→不妥当的 
infelicity          n.不幸；不恰当                                                 无 
infer               v.推断，推定                                                  词根记忆：in(进入)+fer(带来)→带进(意义)→推断 
inferior            a.下级的，低等的，质次的，较差的                                        无 
inferno             n.火海，地狱般的场所                                              词根记忆：infern(低；地狱)+o→地狱，火海 
infest              v.骚扰，扰乱                                                  词根记忆：in(进入)+fest(匆忙)→匆忙起来→骚扰 
infiltrate          v.渗透，渗入                                                  词根记忆：in(进入)+filtr(过滤)+ate→过滤进去→渗透 
infinitesimal       a.极微小的；n.极小量                                             词根记忆：infinite(无穷的)+simal→无穷小的→极微小的 
infinity            n.无限的时间或空间                                               词根记忆：in(无)+fin(结束)+ity→没有结束→无穷 
infirm              a.虚弱的                                                    词根记忆：in(不)+firm(坚定)→不坚定的，不坚强的→虚弱的 
inflame             v.使燃烧；激怒(某人)                                             in(进入)+flame(火焰)→进入火焰 
inflamed            a.发炎的                                                    in(里面)+flam(火焰)+ed→像有火焰在里面烧→发炎的 
inflate             v.使充气，使膨胀                                                词根记忆：in(进入)+flate(气)→让气进去→使充气 
inflict             v.遭受                                                     词根记忆：in(进入)+flict(打击)→进入打斗→遭受痛苦 
influx              n.注入，涌入                                                  词根记忆：in(进入)+flux(流动)→注入，涌入 
informed            a.见多识广的；消息灵通的                                            无 
infraction          n.违法                                                     词根记忆：in(使)+fract(破裂)+ion→使(法律)破裂→违法 
infringe            v.违反，侵害                                                  词根记忆：in(不)+fringe(界限，边缘)→不在界限之内→违反 
infuriate           v.使(人)极为愤怒                                               词根记忆：in(进入)+furi(=fury狂怒)+ate→进入狂怒 
infuse              v.灌输；鼓励                                                  词根记忆：in(进入)+fuse(流)→流进去→灌输 

----------------------- Page 47-----------------------

                                                                             词根记忆：in( 内在)+gen(产生)+ious→聪明产生于内→聪慧的；注意不要和 
ingenious           a.聪明的，有发明天才的                                             ingenuous(坦率的，天真的)相混 
ingénue             n.天真无邪的少女                                                法语词，和ingenuous(天真的) 同出一源 
ingenuity           n.巧思，聪敏                                                  无 
ingenuous           a.纯朴的，单纯的                                                来自拉丁语ingenuus，意为“天真，诚实” 
ingest              v.咽下，吞下                                                  词根记忆：in(进入)+gest(带)→带进去→咽下去 
ingestion           n.摄取，吸收；容纳                                               无 
ingrained           a.根深蒂固的                                                  in(进入)+grain(木头的纹理)+ed→进入纹理之内→根深蒂固的 
ingrate             n.忘恩负义的人                                                 词根记忆：in(不)+grate(感激)→不知感激→忘恩负义的人 
ingratiate          v.逢迎，讨好                                                  词根记忆：in(使)+grati(感激)+ate→使别人感激自己→讨别人欢心 
ingratiating        a.讨好的，谄媚的                                                无 
ingredient          n.成分                                                     词根记忆：ingr(=integr完整，进入)+edi(吃)+ent→进入吃的东西内的东西→(烹调的) 
                                                                             原料 

inhabit             v.栖居于，占据                                                 词根记忆：in(进入)+habit(居住)→住里面 
inhabitant          n.居民；栖息的动物                                               无 
inherit             v.继承                                                     无 
inhumane            a.不近人情的                                                  无 
inimical            a.敌意的，不友善的                                               词根记忆：inim(=enemy敌人)+ical→敌人的→敌对的 
inimitable          a.无法仿效的，不可比拟的                                            词根记忆：in(不)+imit(模仿)+able→不可模仿的→无法仿效的 
iniquitous          a.邪恶的，不公正的                                               词根记忆：in(不)+iquit(=equit公正)+ous→不公正的 
iniquity            n.邪恶，不公正                                                 无 
initial             a.开始的，最初的；n.(姓名的)首字母                                     词根记忆：init(开始)+ial→开始的，最初的 
initiate            v.发起，创始；接纳或介绍某人加入某团体等                                    词根记忆：init(开始)+iate→使„开始，发起 
initiative          n.主动；首创精神                                                来自initial(a.开始的，最初的) 
injection           n.注射；注射剂                                                 来自inject(v.注射)，in(进)+ject(扔)→扔进去→注射 
injunction          n.命令，强制令                                                 词根记忆：in(进入)+junct(连接)+ion→和(法令)相连接→命令 
injurious           a.有害的                                                    来自injury(n.伤害) 
inkling             n.暗示，迹象；略知，模糊概念                                          分拆联想：ink(墨水)+ling(小东西)→小墨迹→迹象 
innate              a.生来的，天赋的                                                词根记忆：in( 内生)+nate( 出生)→出生时带来的 
innocence           n.无辜，清白                                                  词根记忆：in(无)+noc(伤害，毒)+ence→无辜，清白 
innocuous           a.(行为，言论等)无害的                                            词根记忆：in(无)+noc(毒害)+uous→无害的 
innovative          a.革新的                                                    来自innovate(v.革新，创新) 
innuendo            n.含沙射影，暗讽                                                词根记忆：innu(在内)+endo( 内部)→包含在内的讽刺→暗讽 
inoculate           v.预防注射                                                   词根记忆：in(进入)+ocul(萌芽；眼睛)+ate→在萌芽时进入→预防注射 
inordinate          a.过度的，过分的                                                词根记忆：in(不)+ordin(正常)→ate→(生活)不正常的，无节制的 
inquiry             n.询问                                                     无 
inquisitive         a.过分好问的；好奇的                                              词根记忆：in(进入)+quisit(询问)+ive→进入询问→好奇的 
inroad              n.突袭；消耗                                                  分拆联想：in(进)+road(路)→进了别人的路→袭击 
insatiable          a.不能满足的，贪心的                                              词根记忆：in(不)+sati(满)+able→不能满足的 
inscribe            v.在某物上写，题                                                词根记忆：in(进入)+scribe(写)→刻写进去→铭刻 
inscrutable         a.高深莫测的，神秘的                                              词根记忆：in(不)+scrut(理解)+able→不能理解的 
insecticide         n.杀虫剂                                                    词根记忆：insect( 昆虫)+i+cide(杀)→杀昆虫的东西→杀虫剂 
insensate           a.无感觉的；蠢笨的                                               词根记忆：in(无)+sens(感觉)+ate 
insentient          a.无知觉的，无生命的                                              词根记忆：in(无)+sent(感觉)+ient→无感觉的→无生命的 
insider             n.局内人，圈内人                                                无 
insidious           a.隐藏诡计的                                                  词根记忆：in(里面)+sid(坐)+ious→(祸害)坐在里面的 
insignia            n.徽章，袖章                                                  词根记忆：in(作为)+sign(标志，记号)+ia→作为标志的东西→徽章，袖章 
insincerity         n.伪善                                                     in(不)+sincerity(真诚)→伪善 
insinuate           v.暗指，暗示                                                  词根记忆：in(进入)+sinu(弯曲)+ate→绕弯说出来→暗指 
insipid             a.乏味的，枯燥的                                                词根记忆：in(进入)+sip(啜饮)+id→不好喝的→乏味的 
insolent            a.粗野的，无礼的                                                无 
insoluble           a.不溶解的；不能解决的                                             in(不)+soluble(可溶解的)→不可溶解的 
insolvency          n.无力偿还；破产                                                in(无)+solvency(还债能力)→无还债能力 
insomnia            n.失眠症                                                    词根记忆：in(不)+somn(睡眠)+ia→不能睡眠→失眠症 
insouciant          a.漫不经心的                                                  无 
inspection          n.检查，细看                                                  来自inspect(细看，视察)，in(进入)+spect(看)→检查，细看 
inspiration         n.启示，灵感                                                  词根记忆：in(进入)+spir(呼吸)+ation→吸入(灵气)→灵感 
inspired            a.有创见的，有灵感的                                              词根记忆：in(进入)+spir(呼吸)+ed→吸入(灵气)→有灵感的 
install             v.安装，装置；使就职                                              词根记忆：in(进)+stall(放)→放进去→安装 
instantaneous       a.立即的；瞬间发生的                                              instant(马上的，立即的)+aneous→立即的 
instate             v.任命，安置                                                  无 
instigate           v.发起，煽动                                                  词根记忆：in(进入)+stig(=sting刺激)+ate→刺激起来→煽动 
instill             v.滴注；逐渐灌输                                                词根记忆：in(进入)+still(水滴)→像水滴一样进入→滴注 
instinctive         a.本能的                                                    来自instinct(n.本能) 

----------------------- Page 48-----------------------

institute           v.制定，创立(社团，规章)；n.学院，协会                                  词根记忆：in(进入)+stitute(站)→站进去→制定，创立 
institution         n.公共机构，协会；制度                                            来自institute(v.创立，开始，制定) 
institutionalized   a.制度化的，有组织的                                             无 
instructive         a.传授知识的，启蒙的                                             instruct(教导，教学)+ive→传授知识的 
instrumental        a.有帮助的，有作用的                                             instrument(器具，手段)+al→像工具一样→有帮助的 
instrumentalist     n.乐器演奏者                                                 无 
insular             a.岛屿的；心胸狭窄的                                             词根记忆：insul(岛)+ar→岛屿的 
                    n.岛国状态，岛屿生活状况，与外界隔绝的生活状 
insularity                                                                  无 
                    况；(思想, 观点等的)偏狭，性僵化 
insulate            v.使绝缘；使隔离                                               词根记忆：insul(岛)+ate→成为岛一样→隔离 
insulin             n.胰岛素                                                   词根记忆：insul(岛)+in(素)→胰岛素 
insurgent           a.叛乱的，起事的；n.叛乱分子                                        词根记忆：in( 内部)+surge(浪涛；升起)+nt→内部起浪潮→叛乱的 
insurrection        n.造反，叛乱                                                 词根记忆：in( 内部)+sur(下面)+rect(竖直，直)+ion→内部的下属站直了→造反 
intact              a.完整的，未动过的                                              词根记忆：in(不)+tact(接触)→未接触过→完整的 
intangible          a.不可触摸的                                                 in(不)+tangible(可触摸的)→不可触摸的 
integral            a.构成整体所必需的；完整的                                          无 
integrate           v.使成整体                                                  词根记忆：integr(完整)+ate→完整化→使成整体 
integrity           n.正直，诚实；完整                                              无 
intellect           n.智力，思维能力                                               词根记忆：intel(在„中间)+lect(选择)→在中间选出的智力→智力 
intellectual        a.智力的，理智的；n.知识分子                                        无 
intelligible        a.可了解的，清晰的                                              词根记忆：intel(在„中间)+lig(选择)+ible→从中间选择出来的→可了解的 
intensify           v.加剧                                                    来自intense(a.强烈的) 
intent              a.专心的，渴望的；n.目的，意向                                       来自intend(v.打算) 
intentional         a.存心的，故意的                                               无 
inter               v.埋葬                                                    词根记忆：in(进入)+ter(=terr泥土)→埋进泥土→埋葬 
interaction         n.相互作用(影响)                                              词根记忆：inter(在„中间)+act(作用)+ion→相互作用 
intercede           v.说好话，代为求情                                              词根记忆：inter(在„中间)+cede(走)→走到中间→代别人求情 
intercept           v.中途拦截，截取                                               词根记忆：inter+cept(拿)→从中间拿→中途拦截 
intercessor         n.仲裁者                                                   词根记忆：inter+cess(走)+or 
interchangeable     a.可互换的                                                  interchange(交换，互换)+able→能互换的 
